X,Y,SP_ID,CVEGEO,Den2012,Den2013,Den2014,Den2015
227771.222228514,2315548.43722506,"251","3105000013515",11,7,10,8
229971.096354874,2316003.19841277,"252","3105000013534",10,4,2,9
220549.288819501,2316955.40217363,"253","3105000013549",1,0,0,1
221819.151853162,2322946.71517466,"254","3105000013572",23,16,6,6
234276.230939179,2324857.53556075,"255","3105000013587",0,0,1,0
226805.908871605,2330599.14807459,"256","3105000013591",1,0,0,0
225141.62848084,2313097.6195391,"257","3105000013604",0,0,0,9
224328.18426753,2315548.58202042,"258","3105000013619",22,11,6,34
234098.821128777,2324479.10201167,"259","3105000013657",11,1,4,3
232680.599177215,2324912.20962382,"260","3105000013676",1,1,0,1
233295.166469957,2324422.05472481,"261","3105000013695",5,4,3,19
232390.579456409,2324317.39312426,"262","3105000013708",10,2,2,4
225135.312025654,2328143.02627474,"263","3105000013712",21,12,6,4
224489.164041945,2328327.64877423,"264","3105000013727",18,10,3,6
224097.474031988,2327567.30397423,"265","3105000013746",29,17,9,8
222911.725666487,2321938.47495969,"266","3105000013765",31,12,8,10
222011.430917192,2320399.79102443,"267",310500001377A,68,61,17,29
221351.63369575,2320392.24991656,"268","3105000013784",41,48,17,13
221608.019557803,2321074.69688381,"269","3105000013799",38,20,6,12
221723.050403404,2321592.74218986,"270","3105000013801",45,31,10,19
229870.071610371,2315207.94773118,"271","3105000013835",1,1,0,0
220576.209320352,2321053.00529365,"272",310500001384A,42,35,8,14
221108.18551754,2320968.5959747,"273","3105000013854",52,37,17,10
224297.709336685,2314965.44212461,"274","3105000013869",5,1,3,6
224217.223697129,2312175.66658836,"275","3105000013873",7,6,3,11
224507.66457858,2328995.84007504,"276","3105000013905",15,5,5,9
221369.799600867,2321928.8916742,"277",310500001391A,63,47,25,18
229737.477258073,2326704.98307477,"278","3105000013939",6,2,1,1
221173.94788977,2319432.61697411,"279","3105000013943",35,25,8,7
220719.678981207,2321332.42712458,"280","3105000013958",18,4,4,5
233359.019112682,2323771.08787494,"281","3105000013962",11,1,5,5
233114.094245126,2323063.54877491,"282","3105000013977",48,15,4,30
232285.893156728,2326483.51456121,"283","3105000013981",7,8,1,5
232689.249570058,2326118.09567441,"284","3105000013996",4,4,2,7
222328.509401541,2316924.92502426,"285","3105000014000",31,5,4,42
222685.424751702,2315697.2295242,"286","3105000014015",7,3,0,7
221902.104116653,2316240.34855265,"287",310500001402A,18,6,4,71
